Company,Phone,Street,City,State,Zip
 Civilization Coffee + Kitchen,(213) 221-7087,724 South Spring Street,Los Angeles,CA,
 California Pizza Kitchen at 7th Street,(213) 228-8500,735 South Figueroa Street 7th Street,Los Angeles,CA,
 Metropole Bar + Kitchen,(213) 232-8866,899 Francisco St,Los Angeles,CA,
 City Kitchen Catering,(213) 236-4995,950 S Ste Flower St,Los Angeles,CA,
 Quality Appliance Repair,(213) 239-4513,South Gate,,CA,90280
 Star Remodeling & Construction,(213) 256-4238,Los Angeles,,CA,90057
 Onyx General Construction Company,(213) 257-6666,5363 Sunlight Place,Los Angeles,CA,
 Latin Construction Group Inc,(213) 258-6705,8548 Cleta St,Downey,CA,
 Yuko Kitchen,(213) 266-0046,101 W 5th St,Los Angeles,CA,
 Handyman Rudy,(213) 271-7702,Los Angeles,,CA,90057
 Grandma's Kitchen Kaffe,(213) 275-1116,316 E Pico Blvd A,Los Angeles,CA,
 Felix Builder,(213) 304-3493,220 Lucas Ave,Los Angeles,CA,
 Greenleaf Kitchen & Cocktails,(213) 314-2180,929 W. Jefferson Blvd.,Los Angeles,CA,
 Washington Construction,(213) 364-5566,2874 W 8th St,Los Angeles,CA,
 Alfonsos Mexican Kitchen Inc,(213) 372-5917,155 S Main St,Los Angeles,CA,
 Hi Pizza Italian Kitchen,(213) 380-5757,119 S Western Ave,Los Angeles,CA,
 New Star Sales,(213) 382-8686,928 S Western Ave,Los Angeles,CA,
 Tarboosh Middle East Kitchen,(213) 388-9636,3435 Wilshire Blvd,Los Angeles,CA,
 C&J Custom Furniture,(213) 392-4816,1922 East 64th Street unit d,Los Angeles,CA,
 M D G  Kitchen Remodeling,(213) 419-8580,12130 Washington Pl,Los Angeles,CA,
 Nancy's Cleaning Service- Commercial And Residential Cleaning,(213) 422-7664,Los Angeles,,CA,90047
 Destre Contractor,(213) 429-7740,Maywood,,CA,90270
 Handy Same Day Service,(213) 434-0253,"12727 Downey Ave,","Downey, CA,",CA,
 DM Construction,(213) 448-4289,COMPTON,,CA,90221-1747
 California Affordable Builder,(213) 459-9255,Los Angeles,,CA,90036
 L A Xtreme by Rafal Trojan,(213) 468-7769,7080 Hollywood Blvd Suite 1100,Los Angeles,CA,
 Tile Work J G,(213) 471-5399,Los Angeles,,CA,90026
 Crafted Kitchen,(213) 477-1127,672 S Santa Fe Ave,Los Angeles,CA,
 Factory Kitchen,(213) 488-3413,629 S Central Ave,Los Angeles,CA,
 Sammy Rooter,(213) 500-6790,Los Angeles,,CA,90026
 JML Construction and Demolition,(213) 510-3008,Los Angeles,,CA,90003
 Like New Kitchen and Bath Reglazing,(213) 522-3737,Los Angeles,,CA,90037
 Guishan Family Llc,(213) 536-5057,2520 Figueroa Street,Los Angeles,CA,
 Olive Kitchen,(213) 536-5465,1225 E Washington Blvd,Los Angeles,CA,
 Kb Kitchen & Best,(213) 536-5551,1717 S Hoover St,Los Angeles,CA,
 California Sushi Kitchen,(213) 621-0330,350 S Grand Ave,Pasadena,CA,
